"","beer_name","style","abv","ibu","ounces","brewery_name","city","state"
"115","Copperhead Amber","Belgian Dark Ale",0.052,18,16,"450 North Brewing Company","Columbus"," IN"
"116","Deduction","Dubbel",0.08,22,12,"Taxman Brewing Company","Bargersville"," IN"
"117","Gone A-Rye","American Double / Imperial IPA",0.085,90,16,"Cedar Creek Brewery","Seven Points"," TX"
"118","Dankosaurus","American IPA",0.068,70,16,"Cedar Creek Brewery","Seven Points"," TX"
"119","Scruffy's Smoked Alt","Smoked Beer",0.051,35,16,"Cedar Creek Brewery","Seven Points"," TX"
"120","Elliott's Phoned Home Pale Ale","American Pale Ale (APA)",0.051,36,16,"Cedar Creek Brewery","Seven Points"," TX"
"121","The Lawn Ranger","Cream Ale",0.05,18,16,"Cedar Creek Brewery","Seven Points"," TX"
"122","Sex Panther","American Porter",0.069,20,12,"SanTan Brewing Company","Chandler"," AZ"
"123","Winter Warmer (Vault Series)","Winter Warmer",0.095,25,16,"SanTan Brewing Company","Chandler"," AZ"
"124","Count Hopula (Vault Series)","American Double / Imperial IPA",0.091,99,16,"SanTan Brewing Company","Chandler"," AZ"
"125","SunSpot Golden Ale","American Blonde Ale",0.05,15,12,"SanTan Brewing Company","Chandler"," AZ"
"126","Epicenter Amber Ale","American Amber / Red Ale",0.055,20,12,"SanTan Brewing Company","Chandler"," AZ"
"127","SanTan HefeWeizen","Hefeweizen",0.05,15,12,"SanTan Brewing Company","Chandler"," AZ"
"128","Hop Shock IPA","American IPA",0.07,85,12,"SanTan Brewing Company","Chandler"," AZ"
"129","Sex Panther (2014)","American Porter",0.069,20,12,"SanTan Brewing Company","Chandler"," AZ"
"130","Devil’s Ale","American Pale Ale (APA)",0.055,45,12,"SanTan Brewing Company","Chandler"," AZ"
"131","Mr. Pineapple","Fruit / Vegetable Beer",0.05,20,12,"SanTan Brewing Company","Chandler"," AZ"
"132","American Idiot Ale (2012)","American Pale Ale (APA)",0.055,45,12,"SanTan Brewing Company","Chandler"," AZ"
"133","Hop Shock IPA (2010)","American IPA",0.07,85,12,"SanTan Brewing Company","Chandler"," AZ"
"134","SanTan HefeWeizen (2010)","Hefeweizen",0.05,15,12,"SanTan Brewing Company","Chandler"," AZ"
