"","beer_name","style","abv","ibu","ounces","brewery_name","city","state"
"49","Chupahopra","American IPA",0.075,63,12,"Twisted X Brewing Company","Dripping Springs"," TX"
"50","Galaxy IPA","American IPA",0.075,60,16,"Big Muddy Brewing","Murphysboro"," IL"
"51","Jah Mon","American IPA",0.05,100,12,"Rivertowne Brewing Company","Export"," PA"
"52","Anti-Hero IPA","American IPA",0.065,70,12,"Revolution Brewing Company","Chicago"," IL"
"53","Tallgrass IPA","American IPA",0.063,60,16,"Tallgrass Brewing Company","Manhattan"," KS"
"54","Ethos IPA","American IPA",0.068,110,16,"Tallgrass Brewing Company","Manhattan"," KS"
"55","Oasis (2010)","American Double",0.072,93,16,"Tallgrass Brewing Company","Manhattan"," KS"
"56","Bengali Tiger","American IPA",0.064,62,16,"Sixpoint Craft Ales","Brooklyn"," NY"
"57","Resin","American Double",0.091,103,12,"Sixpoint Craft Ales","Brooklyn"," NY"
"58","Bengali","American IPA",0.065,62,24,"Sixpoint Craft Ales","Brooklyn"," NY"
"59","Autumnation (2013)","American IPA",0.067,74,16,"Sixpoint Craft Ales","Brooklyn"," NY"
"60","Bengali Tiger (2011)","American IPA",0.064,62,16,"Sixpoint Craft Ales","Brooklyn"," NY"
"61","Hi-Res","American Double",0.099,111,12,"Sixpoint Craft Ales","Brooklyn"," NY"
"62","Easy Jack","American IPA",0.045,47,12,"Firestone Walker Brewing Company","Paso Robles"," CA"
"63","Union Jack","American IPA",0.075,75,12,"Firestone Walker Brewing Company","Paso Robles"," CA"
"64","Flying Mouse 4","American IPA",0.07,70,12,"Flying Mouse Brewery","Troutville"," VA"
"65","Upslope Imperial India Pale Ale","American Double",0.099,90,20,"Upslope Brewing Company","Boulder"," CO"
"66","Vertex IPA","American IPA",0.063,76,12,"Destihl Brewery","Bloomington"," IL"
"67","Hoperation Overload","American Double",0.096,85,12,"Destihl Brewery","Bloomington"," IL"
"68","Unchained #18 Hop Silo","American Double",0.083,100,16,"Summit Brewing Company","St. Paul"," MN"
"69","Furious","American IPA",0.062,99,16,"Surly Brewing Company","Brooklyn Center"," MN"
"70","Abrasive Ale","American Double",0.097,120,16,"Surly Brewing Company","Brooklyn Center"," MN"
"71","Overrated! West Coast Style IPA","American IPA",0.073,69,16,"Surly Brewing Company","Brooklyn Center"," MN"
"72","WET","American IPA",0.075,90,16,"Surly Brewing Company","Brooklyn Center"," MN"
"73","Citra Ass Down","American IPA",0.082,68,16,"Against The Grain Brewery","Louisville"," KY"
"74","Crazy Mountain Amber Ale","American Amber",0.052,25,12,"Crazy Mountain Brewing Company","Edwards"," CO"
"75","Soul Doubt","American IPA",0.059,70,12,"Freetail Brewing Company","San Antonio"," TX"
"76","Bimini Twist","American IPA",0.07,82,12,"3 Daughters Brewing","St Petersburg"," FL"
"77","Pump House IPA","American IPA",0.055,45,16,"Red Shedman Farm Brewery and Hop...","Mt. Airy"," MD"
"78","Long Leaf","American IPA",0.071,75,16,"Appalachian Mountain Brewery","Boone"," NC"
"79","Double Duckpin","American Double",0.085,90,12,"Union Craft Brewing","Baltimore"," MD"
"80","Grand Circus IPA","American IPA",0.05,62,12,"Atwater Brewery","Detroit"," MI"
"81","Hop A-Peel","American Double",0.075,115,16,"Atwater Brewery","Detroit"," MI"
"82","Wobble","American IPA",0.063,69,16,"Two Brothers Brewing Company","Warrenville"," IL"
"83","Bent Hop Golden IPA","American IPA",0.062,68,12,"Bent Paddle Brewing Company","Duluth"," MN"
"84","Harness the Winter","American IPA",0.072,87,12,"Bent Paddle Brewing Company","Duluth"," MN"
"85","Baby Daddy Session IPA","American IPA",0.047,35,12,"Speakasy Ales & Lagers","San Francisco"," CA"
"86","Bomber Mountain Amber Ale","American Amber",0.046,20,12,"Black Tooth Brewing Company","Sheridan"," WY"
"87","Rise-Up Red (2014)","American Amber",0.058,60,16,"Hopworks Urban Brewery","Portland"," OR"
"88","Rise Up Red","American Amber",0.058,60,16,"Hopworks Urban Brewery","Portland"," OR"
"89","Hopworks IPA (2012)","American IPA",0.066,75,16,"Hopworks Urban Brewery","Portland"," OR"
"90","Hopworks IPA","American IPA",0.066,75,16,"Hopworks Urban Brewery","Portland"," OR"
"91","Ranger IPA (Current)","American IPA",0.065,70,12,"New Belgium Brewing Company","Fort Collins"," CO"
"92","Ranger IPA","American IPA",0.065,70,16,"New Belgium Brewing Company","Fort Collins"," CO"
"93","Fat Tire Amber Ale (2008)","American Amber",0.052,18,12,"New Belgium Brewing Company","Fort Collins"," CO"
"94","Fat Tire Amber Ale","American Amber",0.052,18,16,"New Belgium Brewing Company","Fort Collins"," CO"
"95","Slow Ride","American IPA",0.045,40,12,"New Belgium Brewing Company","Fort Collins"," CO"
"96","Ranger IPA","American IPA",0.065,70,12,"New Belgium Brewing Company","Fort Collins"," CO"
"97","Fat Tire Amber Ale (2011)","American Amber",0.052,18,12,"New Belgium Brewing Company","Fort Collins"," CO"
"98","Fat Tire Amber Ale","American Amber",0.052,18,12,"New Belgium Brewing Company","Fort Collins"," CO"
"99","Torpedo","American IPA",0.072,65,12,"Sierra Nevada Brewing Company","Chico"," CA"
"100","Torpedo","American IPA",0.072,65,16,"Sierra Nevada Brewing Company","Chico"," CA"
"101","Captain's Daughter","American Double",0.085,69,12,"Grey Sail Brewing Company","Westerly"," RI"
"102","India Pale Ale","American IPA",0.063,65,16,"Kirkwood Station Brewing Company","Kirkwood"," MO"
"103","Psychopathy","American IPA",0.069,70,12,"Madtree Brewing Company","Cincinnati"," OH"
"104","Happy Amber","American Amber",0.06,30,12,"Madtree Brewing Company","Cincinnati"," OH"
"105","Hustle","American Amber",0.057,42,12,"Rhinegeist Brewery","Cincinnati"," OH"
"106","Dad","American Amber",0.06,60,12,"Rhinegeist Brewery","Cincinnati"," OH"
"107","Truth","American IPA",0.072,75,12,"Rhinegeist Brewery","Cincinnati"," OH"
